,ticker,date,MV_pred,MV,close
596,RRGB,2015-11-13,1709961.7,954915.06,185.3868608523471
595,RRGB,2015-11-16,1673128.94,945503.5700000001,180.4330183558152
594,RRGB,2015-11-17,1671689.26,950981.9,181.0023343666174
593,RRGB,2015-11-18,1691826.07,935811.14,182.37357315310703
592,RRGB,2015-11-19,1697815.12,927102.0,187.02282467019762
591,RRGB,2015-11-20,1696751.88,922606.9600000001,189.33245635963846
590,RRGB,2015-11-23,1678921.87,934968.3200000001,185.09213047897052
589,RRGB,2015-11-24,1701010.9,926961.5299999999,187.31660190791803
588,RRGB,2015-11-25,1698797.56,945222.6300000001,184.0271370328954
587,RRGB,2015-11-27,1694001.41,967416.89,187.38622494840706
586,RRGB,2015-11-30,1703551.53,957271.4400000001,188.7870388446696
585,RRGB,2015-12-01,1704594.45,943343.4400000001,191.07592054787932
584,RRGB,2015-12-02,1685319.03,919248.0,188.87790418474646
583,RRGB,2015-12-03,1696793.48,946686.16,192.26267011340764
582,RRGB,2015-12-04,1588524.21,928440.48,182.937033075641
581,RRGB,2015-12-07,1716476.94,944875.52,188.00971026368967
580,RRGB,2015-12-08,1677695.37,938050.7999999999,188.76044763704886
579,RRGB,2015-12-09,1618019.38,936936.5599999999,187.4438840187479
578,RRGB,2015-12-10,1719125.12,883592.32,191.78426883776325
577,RRGB,2015-12-11,1716822.0,870500.0,193.55756839243662
576,RRGB,2015-12-14,1718230.62,853368.56,191.10051520786357
575,RRGB,2015-12-15,1671706.54,868410.8,191.04616748346402
574,RRGB,2015-12-16,1716554.56,896963.2000000001,193.16922443396572
573,RRGB,2015-12-17,1720643.77,883592.32,192.78127809262043
572,RRGB,2015-12-18,1721224.08,854622.08,192.0147484053433
571,RRGB,2015-12-21,1682228.38,862282.48,191.40916904751631
570,RRGB,2015-12-22,1715468.03,864650.24,196.59179940732756
569,RRGB,2015-12-23,1710534.43,872310.64,200.28656477637003
568,RRGB,2015-12-24,1710131.52,860889.68,195.94005268814908
567,RRGB,2015-12-28,1693963.36,858800.48,194.6430066401348
566,RRGB,2015-12-29,1686625.33,863118.16,200.3763777854977
565,RRGB,2015-12-30,1679088.61,864928.8,202.43642750165264
564,RRGB,2015-12-31,1671141.34,832943.36,199.89812224025255
563,RRGB,2016-01-04,1259543.29,829672.64,183.89292986738295
562,RRGB,2016-01-05,1247220.76,814954.3999999999,180.3293831001708
561,RRGB,2016-01-06,1206432.47,795875.2,178.10462097925262
560,RRGB,2016-01-07,1260296.95,796011.48,179.82777959204736
559,RRGB,2016-01-08,1252151.65,773661.56,180.11995308609974
558,RRGB,2016-01-11,1241506.02,800372.44,179.3745446018416
557,RRGB,2016-01-12,1243778.66,815090.68,176.86337014872032
556,RRGB,2016-01-13,1209646.98,830626.6000000001,180.60901781623414
555,RRGB,2016-01-14,1265374.34,792059.36,184.13392650487427
554,RRGB,2016-01-15,1214419.75,771344.8,181.84831682391882
553,RRGB,2016-01-19,1258664.61,814681.84,185.13221599077616
552,RRGB,2016-01-20,1265005.36,791786.8,183.9749468151768
551,RRGB,2016-01-21,1247775.67,819996.76,181.1248650782487
550,RRGB,2016-01-22,1246903.08,855974.68,178.44776617769276
549,RRGB,2016-01-25,1248964.02,844936.0,182.37771642393272
548,RRGB,2016-01-26,1263022.93,834715.0,179.3834911088705
547,RRGB,2016-01-27,1240540.78,841937.84,180.4485571987192
546,RRGB,2016-01-28,1255616.15,830354.04,184.17977720251264
545,RRGB,2016-01-29,1259922.78,818497.68,184.93268888568383
544,RRGB,2016-02-01,1230909.94,838394.56,184.34444308642634
543,RRGB,2016-02-02,1245416.87,840438.76,190.4416772547394
542,RRGB,2016-02-03,1259252.76,847116.48,189.89960716775764
541,RRGB,2016-02-04,1252388.61,826674.48,191.77185944400279
540,RRGB,2016-02-05,1254691.21,827764.72,191.70532963027108
539,RRGB,2016-02-08,1261965.77,802144.08,190.87411429243235
538,RRGB,2016-02-09,1258565.63,806505.04,189.6017148100178
537,RRGB,2016-02-10,1257783.03,818361.3999999999,188.45546418347612
536,RRGB,2016-02-11,1227816.29,782792.32,182.599622766578
535,RRGB,2016-02-12,1257348.35,898630.32,184.68255819674002
534,RRGB,2016-02-16,1229602.57,863061.24,180.15817822712285
533,RRGB,2016-02-17,1254599.71,864424.04,183.23945667719676
