Rating,Number Of Ratings,Address
4.4/5,732 ratings,"280 S Coast Hwy, Laguna Beach, CA 92651, USA"
"Buffalo Chicken (Mini 6"")",$12.75,BJ's Deep Dish Pizza,4 slices. Grilled chicken | spicy buffalo BBQ sauce | celery | red onions | a drizzle of ranch + buffalo sauce (170 calories per slice).
"Buffalo Chicken (Small 9"")",$16.95,BJ's Deep Dish Pizza,6 slices. Grilled chicken | spicy buffalo BBQ sauce | celery | red onions | a drizzle of ranch + buffalo sauce (240 calories per slice).
"Buffalo Chicken (Medium 12"")",$22.95,BJ's Deep Dish Pizza,8 slices. Grilled chicken | spicy buffalo BBQ sauce | celery | red onions | a drizzle of ranch + buffalo sauce (310 calories per slice).
"Buffalo Chicken (Large 14"")",$27.25,BJ's Deep Dish Pizza,10 slices. Grilled chicken | spicy buffalo BBQ sauce | celery | red onions | a drizzle of ranch + buffalo sauce (340 calories per slice).
"Chicken Bacon Ranch (Mini 6"")",$12.75,BJ's Deep Dish Pizza,4 slices. Grilled chicken | applewood smoked bacon | jack + cheddar cheese | red onions | diced tomatoes | a drizzle of ranch (240 calories per slice).
"Chicken Bacon Ranch (Small 9"")",$16.95,BJ's Deep Dish Pizza,6 slices. Grilled chicken | applewood smoked bacon | jack + cheddar cheese | red onions | diced tomatoes | a drizzle of ranch (330 calories per slice).
"Chicken Bacon Ranch (Medium 12"")",$22.95,BJ's Deep Dish Pizza,8 slices. Grilled chicken | applewood smoked bacon | jack + cheddar cheese | red onions | diced tomatoes | a drizzle of ranch (410 calories per slice).
"Chicken Bacon Ranch (Large 14"")",$27.25,BJ's Deep Dish Pizza,10 slices. Grilled chicken | applewood smoked bacon | jack + cheddar cheese | red onions | diced tomatoes | a drizzle of ranch (470 calories per slice).
"BJ's Classic Combo (Mini 6"")",$12.25,BJ's Deep Dish Pizza,4 slices. Pepperoni | Italian sausage | mushrooms | seasoned tomatoes (190 calories per slice).
"BJ's Classic Combo (Small 9"")",$15.95,BJ's Deep Dish Pizza,6 slices. Pepperoni | Italian sausage | mushrooms | seasoned tomatoes (260 calories per slice).
"Bj's Classic Combo (Medium 12"")",$21.50,BJ's Deep Dish Pizza,8 slices. Pepperoni | Italian sausage | mushrooms | seasoned tomatoes (330 calories per slice).
"BJ's Classic Combo (Large 14"")",$25.50,BJ's Deep Dish Pizza,10 slices. Pepperoni | Italian sausage | mushrooms | seasoned tomatoes (370 calories per slice).
"Mediterranean (Mini 6"")",$12.75,BJ's Deep Dish Pizza,4 slices. Grilled chicken | basil pesto | roasted garlic | kalamata olives | sun-dried + seasoned tomatoes | crumbled feta cheese | peperoncinis (220 calories per slice).
