date,addressing postcards,princess ann hotel,carfax by vin,minecraft kitchen mod,bollywood bistro,bonchon nyc,beauregards,mobile waiters,oly fed,kansas city airport address,d tronics,cancer traits male,out of the kitchen,hecho sf,naples grande beach,naples grande beach resort,citi card government,lonestar motors,hula mamas
2014-04-01,-0.683,-1.215,0.354,-0.632,-0.021,-0.158,-1.233,-0.416,0.359,-0.893,-0.568,-0.539,-1.192,-0.62,-0.945,-0.941,0.006,-0.314,-0.589
2014-05-01,-0.683,-1.298,0,-0.632,0.243,-0.071,-1.053,-0.398,0.086,-0.845,-0.684,-0.539,-0.873,-0.62,-0.949,-0.945,0.459,-0.313,-0.589
2014-06-01,-0.683,-1.266,0.09,0.705,0.175,-0.092,-1.175,-0.481,0.21,-0.576,-0.416,-0.539,-0.146,-0.62,-0.968,-0.962,0.578,0.492,-0.589
2014-07-01,-0.683,-1.065,-0.02,0.863,0.368,-0.076,-0.794,-0.551,0.147,-0.696,0.429,-0.539,-0.628,-0.62,-0.941,-0.936,0.991,0.529,-0.589
2014-08-01,0.928,-1.183,0.208,0.695,0.535,-0.212,-0.577,0.103,0.234,-0.151,0.943,-0.539,-1.179,-0.62,-0.777,-0.774,1.353,0.839,-0.589
2014-09-01,0.859,-1.103,1.116,1.138,0.315,-0.188,-0.095,0.4,1.693,-0.271,0.571,-0.539,-1.073,0.934,0.024,0.019,0.828,1.21,-0.589
2014-10-01,-0.683,-0.963,2.133,1.256,0.307,0.963,-0.046,0.35,1.441,-0.101,0.804,-0.539,-0.806,2.267,0.182,0.189,1.301,0.364,-0.589
2014-11-01,0.591,-1.033,1.126,1.767,1.057,1.177,0.213,0.387,1.53,-0.214,1.859,1.053,-0.893,3.28,0.119,0.13,1.791,0.807,0.097
2014-12-01,1.188,-0.904,1.738,3.52,1.279,1.863,0.423,0.299,1.892,-0.015,1.138,1.414,-0.667,2.202,0.339,0.338,1.656,0.271,0.465
2015-01-01,0.582,-0.443,2.309,2.423,0.842,1.821,0.428,0.65,1.47,-0.511,0.801,1.492,-0.55,1.979,1.22,1.213,1.856,0.543,0.657
2015-02-01,1.784,0.235,2.684,3.91,0.737,1.772,0.07,0.464,1.697,-0.515,2.123,1.999,-0.147,1.883,1.581,1.605,1.821,1.498,2.789
2015-03-01,0.698,0.804,2.954,1.817,0.733,2.182,0.231,0.591,1.94,-0.118,1.895,1.898,1.41,1.882,1.467,1.472,2.029,0.935,0.428
2015-04-01,1.173,-0.038,1.36,2.419,0.949,1.835,0.559,0.475,1.913,-0.188,1.831,1.766,0.467,2.019,1.255,1.27,2.342,0.8,0.518
2015-05-01,1.002,-0.062,1.89,1.722,1.365,2.021,0.247,0.44,1.929,0.01,1.327,1.935,0.197,2.218,1.183,1.197,2.229,1.503,1.056
